data,artista_podcast,horas
01/07/2021,Aerosmith,0.0009672222222222222
01/07/2021,The Beatles,0.0010252777777777777
01/07/2021,The Rolling Stones,0.001057777777777778
01/07/2021,Aerosmith,0.0009608333333333333
01/07/2021,AC/DC,0.06653333333333333
01/07/2021,The Beatles,0.004013055555555555
01/07/2021,AC/DC,0.06250722222222223
01/07/2021,Led Zeppelin,0.0011116666666666666
01/08/2021,Led Zeppelin,0.0025219444444444443
01/08/2021,AC/DC,0.06287027777777777
01/08/2021,The Beatles,0.0014516666666666666
01/08/2021,The Beatles,0.0005997222222222222
01/08/2021,The Beatles,0.0006383333333333333
01/08/2021,Aerosmith,0.00047722222222222225
01/08/2021,AC/DC,0.06953694444444444
01/08/2021,Led Zeppelin,0.14364583333333333
01/08/2021,The Rolling Stones,0.06642944444444444
01/08/2021,Aerosmith,0.06246277777777778
01/08/2021,AC/DC,0.06442583333333333
01/08/2021,Black Sabbath,0.13506277777777778
01/08/2021,The Beatles,0.04314805555555556
01/08/2021,David Bowie,0.07631833333333334
01/08/2021,Arctic Monkeys,0.07566500000000001
01/08/2021,AC/DC,0.003923611111111111
01/08/2021,The Rolling Stones,0.0002772222222222222
01/08/2021,Aerosmith,0.0030958333333333332
01/08/2021,The Beatles,0.0003869444444444444
01/08/2021,The Rolling Stones,0.056185000000000006
01/08/2021,AC/DC,0.16852777777777778
01/08/2021,The Beatles,0.0017933333333333334
01/08/2021,Led Zeppelin,0.11192222222222223
01/08/2021,Black Sabbath,0.061322222222222215
01/08/2021,David Bowie,0.07063694444444443
01/08/2021,Queen,0.042410277777777776
01/08/2021,AC/DC,0.05968138888888889
01/08/2021,The Rolling Stones,0.08591833333333333
01/08/2021,Black Sabbath,0.08331472222222222
01/08/2021,Queen,0.04538138888888889
01/08/2021,Queen,0.08235555555555556
01/08/2021,Eric Clapton,0.09961527777777777
01/08/2021,Queen,0.0010769444444444444
01/09/2021,AC/DC,0.07698361111111111
01/09/2021,AC/DC,0.0006636111111111111
