data,podcasts,horas
13/02/2021,NerdCast,0.9299313888888889
13/02/2021,NerdCast,0.3407938888888889
16/02/2021,NerdCast,0.5283641666666666
16/02/2021,Inteligência Ltda.,1.3882652777777778
16/02/2021,Inteligência Ltda.,0.5942888888888889
16/02/2021,Mauricio Meirelles Podcast,0.4220544444444444
16/02/2021,Inteligência Ltda.,0.0010997222222222222
16/02/2021,Inteligência Ltda.,1.2164288888888888
17/02/2021,Inteligência Ltda.,0.09337277777777778
17/02/2021,Inteligência Ltda.,0.000961111111111111
17/02/2021,Hipsters Ponto Tech,0.48274249999999996
17/02/2021,Os Sócios Podcast,0.5391691666666667
17/02/2021,Primocast,0.7003394444444445
17/02/2021,Primocast,0.13700416666666668
17/02/2021,Inteligência Ltda.,1.504501111111111
18/02/2021,Inteligência Ltda.,0.3551944444444445
18/02/2021,Inteligência Ltda.,0.0009955555555555555
18/02/2021,Inteligência Ltda.,0.9920530555555556
18/02/2021,Mauricio Meirelles Podcast,0.009403888888888889
18/02/2021,Os Sócios Podcast,0.6147069444444444
19/02/2021,Sinapse,0.5484105555555556
19/02/2021,Data Hackers,0.7823508333333333
19/02/2021,NerdCast,0.3910305555555556
20/02/2021,NerdCast,0.04540444444444445
20/02/2021,NerdCast,0.5449036111111112
20/02/2021,Hipsters Ponto Tech,0.5028186111111111
20/02/2021,NerdCast,0.0
20/02/2021,Inteligência Ltda.,0.6481066666666667
20/02/2021,Inteligência Ltda.,1.5054605555555556
20/02/2021,Inteligência Ltda.,0.001665
22/02/2021,Inteligência Ltda.,1.415541388888889
23/02/2021,Inteligência Ltda.,0.9606238888888889
23/02/2021,Hipsters Ponto Tech,0.040440555555555556
23/02/2021,Hipsters Ponto Tech,0.5368774999999999
23/02/2021,Primocast,0.2505736111111111
24/02/2021,Primocast,0.22792944444444443
24/02/2021,Primocast,0.19301333333333334
25/02/2021,Os Sócios Podcast,0.5854522222222223
25/02/2021,Os Sócios Podcast,0.04858944444444445
25/02/2021,Flow Podcast,0.4741902777777778
26/02/2021,Flow Podcast,0.5446902777777777
26/02/2021,Flow Podcast,0.039384722222222224
26/02/2021,Flow Podcast,1.1646977777777778
26/02/2021,Flow Podcast,0.6207725
26/02/2021,Flow Podcast,0.9327377777777778
27/02/2021,Flow Podcast,0.7175938888888889
27/02/2021,Sinapse,0.27415083333333334
03/01/2021,Sinapse,0.15287750000000003
03/01/2021,NerdCast,0.19793055555555555
03/01/2021,NerdCast,0.1772197222222222
03/01/2021,NerdCast,0.28666277777777777
03/02/2021,Primocast,0.9632413888888889
03/02/2021,Hipsters Ponto Tech,0.3826452777777778
03/02/2021,Mauricio Meirelles Podcast,0.6003611111111111
03/02/2021,Flow Podcast,0.8525894444444444
03/03/2021,Flow Podcast,0.19364583333333335
03/03/2021,Flow Podcast,0.007203055555555555
03/03/2021,Não Ouvo Podcasts,0.0418475
03/03/2021,Inteligência Ltda.,1.2050313888888888
03/03/2021,Inteligência Ltda.,0.0
03/03/2021,Inteligência Ltda.,0.002118611111111111
03/03/2021,Inteligência Ltda.,0.3936975
03/04/2021,Inteligência Ltda.,0.002811944444444444
03/04/2021,Os Sócios Podcast,0.006649722222222223
03/04/2021,Os Sócios Podcast,0.5242663888888889
03/04/2021,Flow Podcast,1.2879205555555555
03/05/2021,Flow Podcast,0.2169775
03/05/2021,Hipsters Ponto Tech,0.43359666666666663
03/05/2021,Sinapse,0.5000841666666667
03/05/2021,NerdCast,0.5423197222222222
03/05/2021,Mauricio Meirelles Podcast,0.2580747222222222
03/05/2021,Mauricio Meirelles Podcast,0.29762694444444443
03/05/2021,NerdCast,0.22404444444444443
03/06/2021,NerdCast,0.5843083333333333
03/06/2021,Flow Podcast,0.0456
03/06/2021,Flow Podcast,1.3453688888888888
03/06/2021,Flow Podcast,0.6974044444444445
03/06/2021,Flow Podcast,1.2849302777777778
03/08/2021,Flow Podcast,1.1900533333333334
03/08/2021,Flow Podcast,0.0025197222222222222
03/08/2021,Primocast,0.6492761111111112
03/08/2021,Mauricio Meirelles Podcast,0.4926130555555555
03/08/2021,Mauricio Meirelles Podcast,0.4527686111111111
03/08/2021,Mauricio Meirelles Podcast,0.525138611111111
03/09/2021,Mauricio Meirelles Podcast,0.002308888888888889
03/09/2021,Hipsters Ponto Tech,0.0
03/09/2021,Hipsters Ponto Tech,0.606911388888889
03/09/2021,Hipsters Ponto Tech,0.5245772222222223
03/10/2021,Inteligência Ltda.,0.004034444444444445
03/10/2021,Inteligência Ltda.,1.4026991666666668
03/11/2021,Inteligência Ltda.,0.7465238888888889
03/11/2021,Inteligência Ltda.,0.0006841666666666667
03/11/2021,Inteligência Ltda.,0.8410547222222223
03/11/2021,Inteligência Ltda.,1.1006491666666667
03/12/2021,Os Sócios Podcast,0.4759333333333334
03/12/2021,Inteligência Ltda.,1.1523044444444444
15/03/2021,Inteligência Ltda.,1.571350277777778
16/03/2021,Primocast,0.46663055555555555
16/03/2021,Primocast,0.004147222222222222
16/03/2021,Inteligência Ltda.,1.5331297222222224
17/03/2021,Inteligência Ltda.,1.2146227777777776
17/03/2021,Mauricio Meirelles Podcast,0.0018863888888888888
17/03/2021,Hipsters Ponto Tech,0.2519427777777778
17/03/2021,Mauricio Meirelles Podcast,0.59328
17/03/2021,Inteligência Ltda.,0.9057975
18/03/2021,Inteligência Ltda.,0.4068522222222222
18/03/2021,Inteligência Ltda.,0.34652
18/03/2021,Inteligência Ltda.,1.354341388888889
19/03/2021,Os Sócios Podcast,0.9763386111111111
19/03/2021,Inteligência Ltda.,0.30315888888888887
19/03/2021,Inteligência Ltda.,0.6016611111111111
19/03/2021,Inteligência Ltda.,0.6373230555555556
19/03/2021,NerdCast,0.5868713888888889
19/03/2021,NerdCast,0.02007527777777778
19/03/2021,NerdCast,0.09478583333333333
22/03/2021,Teste de Turing,0.0032175
22/03/2021,Teste de Turing,0.00026055555555555554
22/03/2021,Let's Data Podcast,0.5015391666666666
22/03/2021,Sinapse,0.3901597222222222
22/03/2021,Primocast,0.9187944444444445
22/03/2021,Mauricio Meirelles Podcast,0.5595230555555555
23/03/2021,Hipsters Ponto Tech,0.4818983333333334
23/03/2021,Inteligência Ltda.,1.0737422222222222
24/03/2021,Inteligência Ltda.,0.29860194444444443
25/03/2021,Os Sócios Podcast,0.296715
25/03/2021,Os Sócios Podcast,0.2853352777777778
25/03/2021,Inteligência Ltda.,0.9902083333333334
25/03/2021,Inteligência Ltda.,0.3766536111111111
26/03/2021,Inteligência Ltda.,2.5034916666666667
26/03/2021,Inteligência Ltda.,0.0017716666666666668
26/03/2021,Inteligência Ltda.,1.0942852777777778
26/03/2021,Mauricio Meirelles Podcast,0.4895591666666667
27/03/2021,NerdCast,1.1661877777777778
27/03/2021,Não Ouvo Podcasts,0.41407083333333333
29/03/2021,Inteligência Ltda.,0.6417627777777778
29/03/2021,Inteligência Ltda.,0.9781791666666667
29/03/2021,Mauricio Meirelles Podcast,0.18014805555555558
30/03/2021,Mauricio Meirelles Podcast,0.0038116666666666663
30/03/2021,Hipsters Ponto Tech,0.32067361111111115
30/03/2021,Inteligência Ltda.,1.5025052777777779
31/03/2021,Inteligência Ltda.,0.7395613888888889
31/03/2021,Inteligência Ltda.,1.183695
31/03/2021,Inteligência Ltda.,0.1615786111111111
31/03/2021,Inteligência Ltda.,1.3330702777777779
04/01/2021,Inteligência Ltda.,0.061170555555555554
04/01/2021,Data Hackers,0.5664344444444445
04/01/2021,Sinapse,0.013705555555555556
04/01/2021,Sinapse,0.37391138888888886
04/01/2021,Os Sócios Podcast,0.0013391666666666667
04/01/2021,Os Sócios Podcast,0.6351650000000001
04/05/2021,NerdCast,0.6524016666666667
04/05/2021,NerdCast,0.45755861111111107
04/05/2021,Inteligência Ltda.,0.0014897222222222221
04/05/2021,Inteligência Ltda.,0.21551333333333333
04/05/2021,Inteligência Ltda.,0.5269508333333334
04/05/2021,Inteligência Ltda.,0.6887938888888888
04/06/2021,Inteligência Ltda.,0.3845869444444444
04/06/2021,Inteligência Ltda.,0.06225527777777778
04/06/2021,Inteligência Ltda.,1.359063888888889
04/07/2021,Inteligência Ltda.,0.20156194444444445
04/07/2021,Inteligência Ltda.,0.14966166666666667
04/07/2021,Inteligência Ltda.,0.0010319444444444445
04/07/2021,Inteligência Ltda.,0.38199194444444445
04/07/2021,Inteligência Ltda.,0.21099833333333334
04/07/2021,Inteligência Ltda.,0.0003738888888888889
04/07/2021,Inteligência Ltda.,0.0002577777777777778
04/07/2021,Inteligência Ltda.,0.005440277777777778
04/07/2021,Inteligência Ltda.,0.0005611111111111111
04/07/2021,Inteligência Ltda.,0.0003158333333333334
04/07/2021,Inteligência Ltda.,0.7185219444444445
04/07/2021,Inteligência Ltda.,0.0002127777777777778
04/07/2021,Inteligência Ltda.,0.0003222222222222222
04/07/2021,Inteligência Ltda.,0.013757777777777778
04/07/2021,Inteligência Ltda.,0.05106444444444445
04/08/2021,Flow Podcast,0.6833094444444445
04/08/2021,Flow Podcast,0.37939416666666664
04/08/2021,Flow Podcast,0.025109722222222224
04/08/2021,Flow Podcast,0.009500555555555555
04/08/2021,Flow Podcast,1.82325
04/08/2021,Let's Data Podcast,0.6336330555555556
04/08/2021,Os Sócios Podcast,0.7782694444444445
04/08/2021,Let's Data Podcast,0.003715
04/08/2021,Inteligência Ltda.,0.00047722222222222225
04/08/2021,Inteligência Ltda.,0.3267611111111111
04/09/2021,Inteligência Ltda.,1.6270716666666667
04/09/2021,NerdCast,0.8105722222222221
04/09/2021,NerdCast,0.11943416666666667
04/10/2021,Inteligência Ltda.,0.00112
04/12/2021,NerdCast,0.31944222222222224
04/12/2021,Inteligência Ltda.,0.6100894444444445
04/12/2021,Inteligência Ltda.,1.3844122222222224
13/04/2021,Hipsters Ponto Tech,0.40717472222222223
13/04/2021,Inteligência Ltda.,0.009152500000000001
