data,data,nome_da_musica,msPlayed,minutos,horas
2021-01-05,01/05/2021,Don't Stop (The Rolling Stones),239146,3.9857666666666667,0.06642944444444444
2021-01-05,01/05/2021,When the Levee Breaks     (Led Zeppelin),430320,7.172,0.11953333333333332
2021-01-05,01/05/2021,When the Levee Breaks     (Led Zeppelin),117674,1.9612333333333334,0.03268722222222222
2021-01-05,01/05/2021,"Hey, Hey, What Can I Do     (Led Zeppelin)",236760,3.946,0.06576666666666667
2021-01-05,01/05/2021,Loner (Black Sabbath),2043,0.03405,0.0005675
2021-01-05,01/05/2021,Hey Jude     2015 (The Beatles),3854,0.06423333333333334,0.0010705555555555557
2021-01-05,01/05/2021,I'm Happy Just To Dance With You     2009 (The Beatles),44699,0.7449833333333333,0.012416388888888888
2021-01-05,01/05/2021,Stray Cat Blues   50th Anniversary Edition (The Rolling Stones),4249,0.07081666666666667,0.0011802777777777777
2021-01-05,01/05/2021,Another One Bites The Dust     2011 (Queen),1323,0.02205,0.0003675
2021-01-05,01/05/2021,Won't Get Fooled Again   Original Album Version (The Who),1114,0.018566666666666665,0.00030944444444444444
2021-01-05,01/05/2021,D'yer Mak'er     (Led Zeppelin),998,0.016633333333333333,0.0002772222222222222
2021-01-05,01/05/2021,Moneytalks (AC/DC),225946,3.7657666666666665,0.06276277777777778
2021-01-05,01/05/2021,"Running On Faith   Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013   (Eric Clapton)",390893,6.514883333333334,0.1085813888888889
2021-01-05,01/05/2021,Rock N Roll Train (AC/DC),38309,0.6384833333333333,0.010641388888888888
2021-01-07,01/07/2021,We Are The Champions     2011 (Queen),3320,0.05533333333333333,0.0009222222222222222
2021-01-07,01/07/2021,Something     2009 (The Beatles),1648,0.027466666666666667,0.00045777777777777776
2021-01-07,01/07/2021,Drive My Car     2009 (The Beatles),2252,0.037533333333333335,0.0006255555555555556
2021-01-07,01/07/2021,And I Love Her     2009 (The Beatles),1741,0.029016666666666666,0.0004836111111111111
2021-01-07,01/07/2021,Rocks Off (The Rolling Stones),2182,0.036366666666666665,0.0006061111111111111
2021-01-07,01/07/2021,I'm Happy Just To Dance With You     2009 (The Beatles),1811,0.030183333333333333,0.0005030555555555555
2021-01-07,01/07/2021,"Running On Faith   Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013   (Eric Clapton)",1114,0.018566666666666665,0.00030944444444444444
2021-01-07,01/07/2021,Start Me Up     2009 (The Rolling Stones),1625,0.027083333333333334,0.0004513888888888889
2021-01-07,01/07/2021,Mistress for Christmas (AC/DC),1253,0.020883333333333334,0.00034805555555555555
2021-01-07,01/07/2021,Wonderful Tonight (Eric Clapton),1787,0.029783333333333332,0.0004963888888888889
2021-01-07,01/07/2021,Satellite Blues (AC/DC),1300,0.021666666666666667,0.00036111111111111115
2021-01-07,01/07/2021,Sunny Side Of Love (Aerosmith),5967,0.09945,0.0016575
2021-01-07,01/07/2021,The Jack (AC/DC),2020,0.033666666666666664,0.0005611111111111111
2021-01-07,01/07/2021,Shot Down in Flames (AC/DC),3366,0.0561,0.000935
2021-01-07,01/07/2021,"Running On Faith   Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013   (Eric Clapton)",390893,6.514883333333334,0.1085813888888889
2021-01-07,01/07/2021,Wonderful Tonight (Eric Clapton),225026,3.7504333333333335,0.06250722222222223
2021-01-07,01/07/2021,When I'm Sixty Four     2009 (The Beatles),157666,2.6277666666666666,0.04379611111111111
2021-01-07,01/07/2021,Shoot to Thrill (AC/DC),317426,5.2904333333333335,0.0881738888888889
2021-01-07,01/07/2021,Roll Over Beethoven     2009 (The Beatles),11699,0.19498333333333334,0.0032497222222222224
2021-01-07,01/07/2021,Stiff Upper Lip (AC/DC),214560,3.576,0.0596
2021-01-07,01/07/2021,Misty Mountain Hop     (Led Zeppelin),211328,3.522133333333333,0.05870222222222222
2021-01-07,01/07/2021,Love Me Do     2009 (The Beatles),1462,0.024366666666666665,0.0004061111111111111
